Algoritmo,#Palabras,#Caracteres_Entrada,#Caracteres_Salida,T-E1,T-E2,T-E3,T-E4,T-Total
AES,10,70,80,0.5232715280000093,2.1294000021043757e-05,0.006802478999986761,0.00010614999999347674,0.5302014510000106
RSA,10,70,256,0.5232715280000093,0.0,0.0012476680000190754,0.002214197000000695,0.5267333930000291
SHA-256,10,70,64,0.5232715280000093,0.0,2.3882999983015907e-05,0.0,0.5232954109999923
AES,100,700,704,0.5315397619999942,1.2476000023298184e-05,0.00013577400000031048,3.363800001920936e-05,0.531721650000037
RSA,100,700,1024,0.5315397619999942,0.0,0.0034998770000242985,0.00775287700000149,0.54279251600002
SHA-256,100,700,64,0.5315397619999942,0.0,2.3795000004156464e-05,0.0,0.5315635569999984
AES,1000,7000,7008,0.4943539459999897,9.502000011707423e-06,0.00020781300000294323,6.550500000912507e-05,0.4946367660000135
RSA,1000,7000,8448,0.4943539459999897,0.0,0.02641887600000814,0.0651607199999944,0.5859335419999923
SHA-256,1000,7000,64,0.4943539459999897,0.0,3.878600000462029e-05,0.0,0.49439273199999434
AES,10000,70000,70016,0.5500885140000094,1.1368000002676126e-05,0.0003418369999792503,0.0002888310000059846,0.5507305499999973
RSA,10000,70000,83968,0.5500885140000094,0.0,0.2691530329999807,0.6066161530000045,1.4258576999999946
SHA-256,10000,70000,64,0.5500885140000094,0.0,0.00024016599999754362,0.0,0.5503286800000069
AES,100000,700000,700016,1.0885412739999936,1.177300001131698e-05,0.002359944999994923,0.0022372190000226055,1.0931502110000224
RSA,100000,700000,837632,1.0885412739999936,0.0,2.408565653000011,8.04723241100001,11.544339338000015
SHA-256,100000,700000,64,1.0885412739999936,0.0,0.0021234460000130184,0.0,1.0906647200000066
AES,10000000,70000000,70000016,0.16490911099998584,8.34490000158894e-05,0.3676610690000075,0.3457352780000065,0.8783889070000157
RSA,10000000,70000000,83738368,0.16490911099998584,0.0,269.501638823,732.639646069,1002.306194003
SHA-256,10000000,70000000,64,0.16490911099998584,0.0,0.20853240299993558,0.0,0.3734415139999214
